question_text,code
i know what my goal ar and what i nee to do to be success in my rol,ALI.5
i feel lik i can be success in my rol,ALI.5
i know what i nee to do to be success in my rol,ALI.5
i understand my rol and what is expect of me,ALI.5
i know what is expect of me in my,ALI.5
i understand expect of,ALI.5
i understand what is expect of me in my rol,ALI.5
i know what i nee to do to be success in my,ALI.5
i know what i nee to be success in my rol,ALI.5
i understand what i nee to do to be effect in my rol,ALI.5
i know expect of me at work,ALI.5
i know expect of me,ALI.5
i know what i nee to do to be success,ALI.5
i understand what i nee to do to be success as a hool,ALI.5
i understand what success look lik in my rol,ALI.5
i know what is expect of me to be success at pied,ALI.5
i know what is expect of me to be success in my rol,ALI.5
i understand the object to be success in my,ALI.5
i know what i nee to do to be bril in my rol,ALI.5
i know what develop is expect of me in my,ALI.5
i know what is expect of,ALI.5
i know what i nee to do to be success in my rol on thi project,ALI.5
i understand what is expect of me in my,ALI.5
i understand expect of me in my rol,ALI.5
i understand what is expect of me in my cur,ALI.5
i know what i nee to do to be success in my job,ALI.5
i understand what i nee to do to be success in my,ALI.5
i know what is expect from me to be success in my rol,ALI.5
i understand what i nee to do to be success in my rol,ALI.5
i know what i nee to do to be pied pip in my rol,ALI.5
i know what is expect of me,ALI.5
i know what we nee to do to be success in our work,ALI.5
i know expect of me in my rol and how to success,ALI.5
i understand expect of me in my,ALI.5
i knew what was expect of me to be success in my rol,ALI.5
i understand expect of me to be success in my rol,ALI.5
i know expect of me in my,ALI.5
my rol was what i expect it would be,ALI.5
i hav clar in what success look lik in my rol,ALI.5
my rol is what i expect it to be lik,ALI.5
i know what success look lik in my rol,ALI.5
i know expect of me in my rol,ALI.5
i understand what success look lik in my,ALI.5
i know what is expect of me at pied,ALI.5
of me in my,ALI.5
i know what was expect of me to be success in my,ALI.5
i know what success look lik in my,ALI.5
i know what i nee to do to be success in my rol as a hool,ALI.5
i understand what is expect of me in my spec,ALI.5
i understand my rol and the expect to be,ALI.5
i know exact what i nee to do to be success in my,ALI.5
i understand what i nee to do to hav a success car her,ALI.5
i know what is expect of me to be success in my,ALI.5
i understand expect of me to be success in my,ALI.5
i know what is expect of me in my rol at thi stag,ALI.5
i know what is expect of me in my rol,ALI.5
i understand what is expect of me,ALI.5
i know wher to find inform to do my job wel,ENA.3
i hav the inform i nee to do my job wel,ENA.3
i hav the inform i nee to do my job,ENA.3
the inform i nee to do my job effect is hool,ENA.3
i had access to the inform i nee to do my job,ENA.3
the inform i nee to do my job effect is ready avail,ENA.3
the inform i nee to do my job effect is ready,ENA.3
i hav the resourc to do my job effect,ENA.3
the inform i nee to do my job effect is avail,ENA.3
the tool and resourc i nee to do my job effect ar ready avail,ENA.3
